Clean_tweets;Labels
molweni ba niyafuna 😍💛 ;positive
kakade mmeli small boys goes to sleep hambo lala ntwana🤣🤣🤣 bbtitans ;neutral
and then there is mbali nolwazingubeni ingqawakazi yam😂😂😂😂 etvscandal lisebenzile iyeza khowenze kaloku mbaliza😛😛😛 ;positive
bhut lullo bonisile rms madlala tm jonga izinja ze game 😂😂 ;negative
ukhozi fm mrozawangempel djsgqemeza sanibona basakazi yebo lihle icalender lokhozi bahle abasakazi bethungicela ukuvuka nomndeni wami wonke wakamaxhini edonnybrook ukhozifmvabs ukhozifm ;neutral
umbutho wethu bethuna 🤣🤣🤣😂 myanc ;positive
sgadi28 below the belt kodwa mhlekazi wam lets not mix sport with politics ;positive
dailyloud kaloku attempted murdee lewei ;positive
mpumiln people must sanitize their hearts bethuna kanti kutheni🤣🤣 ;neutral
fridays are for lovers bethuna ;neutral
swazi zindela cabanga isgaxa semali 😂 ;negative
lutho aker ba itse thata ;neutral
to be honest all fathers want us to vent virgins till they give us away to our husbands but ke oobani bona siythanda kangaka ikhofonoza🍑🍆💦🔥🔞🤣🤣🤣🤣🤣theblackdoor🔞 ;negative
on twarrior fundiswaz scrollaafrica we also used to eat amasi that was in 2012 every tuesday ❤️❤️👌🏿👌🏿👌🏿 ;positive
zimasabuhle kahle nje futhi umntwana angene endleleni do you know how annoying a child who is not afraid of doing something wrong athi what the fuck edlala i game kwi fone tjjjrrrrrrrrr ngingafa ;positive
what i like about us south africans is we are not angry enoughwe are just angry twitterically💀 qhaotherwise akhonto esizoyiyenza come stage10 even ;negative
penelope makala 🤣🤣🤣🤣 tjoooo soze ;neutral
makwande m chiane iskhathi sakhe sifikile manje ;neutral
rhaduuxesibe wandilehlamvana ndifuna ukuyolikhupha eli lam ;negative
lu theriver ndifuna uba yilendoda wena ube ngu makoti 🙆🏽‍♂️ ;negative
xolipona unayo itoilet paper phofu akhona ona amanzi good luck ;neutral
thamsanqabonga2 well done champ thamsanqa 👏🏾👏🏾 ;positive
fikz the cook hawemah 😻😻🔥 ngicela ungithumela iplate ;positive
bantuholomisa ibolile mhlekazi le fort hare big up to the vc now law enforcement must take over this fight wont end if we are scared it will be the cancer of all institutions ;negative
mnconywaxoliswa realblackcoffee solphendukaa macgunleashed ingxaki yakho uyaphapha ;negative
😂😂😂😂abo masambe babe siye durban ngeloxesha umkhaba awumkhulu yintoniuse durban already😂😂 ;negative
maliqo intengu drongo hasuka ungumnqundu nangoku block me futhi ;neutral
sinomlambo sending you love strength and light sisi uxolo ;positive
there’s nothing wrong with credit cards ingxaki nguwe ne buying power 😮‍💨 ;negative
dijosti ngubani is onda selling yakho ndifuna inxiwa ;negative
sphe haybo uthathile encinci kanje kodwa ngathi ubhokoxile ;negative
bazowukhomba umuzi onotshwala labobobabayi abangondlisibonge ku ukhozifmwnb ngokukhanyisela isizwe ngolwazi tshatha ngobe thisisselby mkhaba m ukhozi fm ukhozifm ;negative
futurebite ei nawo udinga iskhathi angeke kusa nje ususemanzini ayabanda ekseni kanje😂😂😂 ;positive
bayandibawela abanye was the right waysesizo ceng umhluzi wamamanqina kuba sifik inyama seyiphelile akhonto ingabasalungiswa ngoku sabawela went out loud ;negative
mtshalikhekhzin waze wadlala nge pedroschicken imnandi kangaka ;positive
que mtini kutheni ningafuni sonwabe nje ☹️ ;negative
kemtabani orlandopirates yinkomo lamntu andazi yintoni le ibonwa ngo coach kulamntu nxaaaaa ;negative
mbsvudu sannah r uyezwa baba😂 ;positive
mathaba2022 so u girl never went to baby daddy’s family yet she istep parenting his child surely they would have told her kuningi ngempela ;negative
😭😭😭 hayi inoba yi braai le yinjoli ye braai mos lo bhuti athini amaxhego lmao ;negative
usthe ngaske siyeke ;neutral
this means the case is no more watch how they play this darty game using this meeting in switzerland loli will sit here i want to see how ramaphosa will keep on escaping from this cases impi inkulu kusindwa nongathwele ;positive
yho bawo wam this ubereats driver says he doesnt see intercom at the gate wow andoyiswe there is no way you can miss it tumy that is so far from entrance eloxesha ;positive
danko bekukdala ngoko ;positive
ayintle indoda nantsi apha emsebenzini yhooooo😭 ;positive
nosipho ntshele khona uzoza every weekend umzali efake imali😆 ;negative
ukhozi fm djsgqemeza mrozawangempel landela35 mrozawangempel djsgqemeza a very good morning basakazi bami abahle nengibathandayo njengenjwayelo ngivukile ngathi ukuyohlafuna amakhilomitha ambaywana nje kumanje senglungisela ukuya kwamlungu ngicela ukuvusa umndeni wami ekhaya e mary grayendwedwe ;negative
yho uxolo baby gal 💔 ;positive
tumhlaba1 ukhozi ca uyabona tu imizwa ngomhobholo lowo abanikazi bamatekisa banomona nje umubi sebefuna ukubulala abantu nakulelobhizinisi sebufuna ukufaka udlame nalapho mxm ;negative
king thukzin mthembu and inyama yenhloko yakhonaehostel uyanela 🤝 ;neutral
matekihlabisa host protect us from lo bhuti soze😂😂😂 ;positive
asezagucci xolani ngku selilide ithuba kwaye nombulali soze abanjwe 😭😭😂😂😂 ;negative
sithandilenkosi unomsindothanks they got u before i smash my tv ;positive
akhonto imandi emhlabeni we anc ;negative
nampree safa saphelisizwe esimnyama ;negative
enhle ngubeni nimthanda gqithi lodotimakahambe jarana told us something about turning things around this one is there to join the sirens ;positive
inkinga iqala ngokuthi u thought you were getting a “good deal” by buying it on alibaba ;neutral
bongani eddie mtnza exactly nantsi solution mos mtnmomo whatarewedoingtoday ;positive
zesty ikhona into noba yintoni na and ihamba nam ngomgca ;negative
ulibolokuqala phindi p mamvelase omuhle ngicela ukubonga ukuth ngisaphila yaz ngithukile sekuhambe abantu abaningi kakhulu engibaziyo njengoba unyaka uqalile 😥😥😥🙏🙏 ukhozi fm ;negative
liam williee 🙄 inoba uwabulalela naphaya kuye emzimbeni ke lo ma duck ngoba akakho clean nje yena self ;negative
wahlala phansi kumnandi kangaka kusho mina kwi ex yami ihamba nge wheelchair🚶😅 ;negative
solphendukaa true sol hayi ukuthukwa kangaka ngabelungu bama bike ngingenzanga lutho ngime e robotini😤 ;negative
theslylee brianmagopa ncubukezim hay kodwa mhlekazi awuboni okanye uyazenzisa ;positive
hash browns🥴 worst form of potatoes shem kakade she was never gonna be perfect ;neutral
zwidenyapt ayathutha ngempela futh ;neutral
no butreallytho 🤣🤣🤣🤣🤣 amahloni kimi ;neutral
morejo de fox ewe kaloku😂😂😂 ;positive
mlu n2 and i pele ibuhlungu onyaweni ngath ikhahlela itshe😭😭😭😭 ;negative
vangi22 bulawa yintoni his your baby daddy kaloku ulibele ukuba wayekhethwe nguwe ;negative
ngi cabanga nokufonela kubo ngithi “naze nayizala inja”🤣 ;negative
yadadaymean sim webu bruh chilly starts over cucu every time man kutheni ingayiboni le ;negative
chakrahun sa weh kanti ayikho nje into ongayenza unless ke you wanna be your own umlungu ;negative
me af🤣 andizonxila ndodwa kaloku🌚 ;positive
realblackcoffee solphendukaa macgunleashed ungashiyi niks baba kunini uthuli khuluma mashimane 💃💃💃💃💃sodlala amaqola azilime ziyetsheni ;positive
todays loadshedding schedule is insane mabawuthatha umbane wabo once😭😭😭 ;negative
tlatsovo change’a mzalwane ;neutral
ndingugigi ngiyadlala gg uyezwa 😂 ;positive
inganathi lokwe 🤣🤣🤣 cabanga ;negative
inkinga yami ukuth i want to save everybody ;neutral
kamogelo mn si gym impela kodwa uku post kanj hhay khona 😂 khon inkinga la ;positive
i dont think we will ever come to a point where we say we are now used to load shedding kufana nokufa nje akujwayeleki so load shedding as well asoze sayijwayela nkosiyami soze 😩😩😩 ;negative
pabiier for intoni oe ;negative
bathi uqale impi😭😭 ;negative
athi plaatjie awuzoyeka umntu wakho kuba ehleli nomntu wakhe kaloku but also awuzoba bored umhle unje❤️ ;negative
im glad akhonto indidibanisa ne kwazakhele and new brighton kweli bhayi 🙏 ;negative
ngaske ndithole inotification kwi bank app 🥺🥺🥺 ;negative
yho soze ndiphinde ndize apha omgee ;positive
soze oomama need to get their coin too 💰 ;positive
need i say more 🔥🔥🔥🔥it’s on ngomso wdptsgfest hollywoodbets greyville racecourse ;positive
chockiemokoto uzodibana no sathane ;negative
lukanyomngqolo 🤣hebethuna inoba you want to demonstrate ;positive
mzamatolo uyandibhida kengoku ;negative
mr t33 zungulavuyo soze abuye ;negative
oskido amp msaki umbane ;negative
good morning to soso spayi only hoping usaphetheke kakuhle kwelolizwe ❤ ;positive
preview of the new album + music video loading artist ousixalbum title indlelasingle title izinkinga zamnewmusic music hiphop rap spotify artist producer rapper musician soundcloud musicproducer beats 24 feb 2023🇿🇦🇿🇦🇿🇦 ;positive
cwharlie 4 michaelbucwa yoh ngicela 1gb 🥺 so much data 🤭 ;neutral
sgngemaa iqiniso abanalo bangama menemene mfowethu ;negative
ncanecele hlezi ngikhona mina ;neutral
damn41857597 realyolah lol yintoni nalena ingathi ngunopopi fihla wena lento mani rhaa ;negative
nelmohlomi someone has been owing me since june sana reminded them to pay me back apha ngo november then she blocked me shared her number with mates and they started a”bring back tina’s money” campaign they’d call and text oko she repaid me kwa ngoko😂😂😂✋🏾 ;positive
siya thiago soze 🤣 le nkwenkwe is twerking hard after his agent confessed no one wanted to take a chance on a georgian player ;neutral
munkuza oh bethuna umntwana wam😍🤩🤩🥰shes so cute ndizobuyela yena nje ;positive
mo magoda stop burdening citizens with your choose a or b exam questions mhlekazi the answer here is all of the above ✊🏾 ;positive
amoh mayii hay jonga uqhamile yong 😲 ;negative
ngaske ngife ngicela ningidlise uchevu ;neutral
lebohangbokako duduzanezuma 22 presjgzuma mzwanelemanyi dzumasambudla thula sisi awuyazi into oyikhulumayo ungazodlala ngathi be realistic ;negative
enca so you want us to always support big shop abafowethu bengatholi lutho niyabheda ;neutral
ithole – lapha kukhulunywa ngomntwana wenkomo osethe ukukhulula osekwazi ukuzidlela ongasanceliqaphela inkonyane elincelayo kodwa meke laphuma ekunceleni liba ithole ;positive
kaizerchiefs aninawo amahloni ;neutral
chrisexcel102 kaloku ufuna ikhatini and its like podcastwithmacg can roll this for trill ;negative
sa crime jonga yidlani kwaba 🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♀️🏃‍♀️🏃‍♀️ ;positive
abafazi banamhlanje sebafika neziyalo zabo emzini muva nje anisho ngani bafwethu izinto ukuthi sezajika yooh 🙄🙄🙄🙄 cha enganya ekhaya kithi ngenke ayenze lento luthocha lona uzobashaya emzini and bazomsaba impela bakithi ziyakhala ;negative
ese7391 hei hei 🥂 siphethe kahle and soze sibone next year ✌️ ;positive
zanewsflash inkinga yaqala when there was no resistance to loadshedding from the start ;neutral
kanti nina nihamba kuphi emall asihlangani ise beach kade ngithi ngizobona nje esinaye la ku twitter kodwa lutho ayi bafethu ;negative
khuluma bafo say your peace nawe 😂🤣😂what must happen ;positive
mabaphinde benze ilondon roots ku le nyanga 🥲🥲 ;neutral
i love waking up early because i enjoy my day kakuhle but ndide ndivuke ngo 5 😭 ;positive
it’s gonna take quite a lot of hard work to bring ithekwini back to its former glory isimo asisihle neze ;neutral
mukendiesperanc denisenyakeru presidence rdc abolodjwa nenettesokivang falialakiza bibishe6 florydangoma520 kovimba vimba ya pamba avec jouissance et escroquerie ya suka quelle malédiction et irresponsibility une rwandaise dont care about congolese children 🤔 ;negative
2much29291722 nmandelabaymuni eskom sa amp nmandelabaymuni please explain we need answers its now 0630 awukabuyi umbane to quote a xhosa proverb cela ningasenzi iikaka ;negative
bhengudee okay kaloku ;neutral
sifisov1 umona impilo yo umuntu ;negative
advobarryroux inyawo alinampumlo… ;negative
saintloungecpt aninazo izitya ezimdaka bavele bahlambe izitya okanye bakorobhe kupheluchuku ;negative
andithi kaloku amazulu are their pillar of strenght today😭😭😭 bazoswaba bonke😂 ;positive
spheb ulimexi sana and ucinga ngayo 😂 ;positive
motsoaphi they are washing money soze ;neutral
big brother please end this pairing thing 😩😩 bbtitans ;negative
ncedo99 umculo inoba utsho evalweni ;neutral
zuluboyfriend sthe mlingo ukhozi fm njinjiwami uyangicasula lona ngoba akamazi nodr bahle zondo thina esimazi kahle owangakithi samazi esasebenza kwimbalenhle engakabi nayo iamahle benefits le akanayo angeke aze ayenza into enje ukubulala pho ayi umuntu nomona wakhe akaye kwahell maan ;negative
imagine being posted on social media for iskweleti sasetywaleni futhi 😭😭 awuvingi usweleka perhapsmostwanted saint ;negative
i want so much for myself this year ngaske uthixo ayive imithandazo yam🙏🏾 ;positive
konkemzila nkululekoxaba 😂 kubi kushushu ;negative
orlandopirates umsebenzi omuhle gonzales 🤗 psl2023 dstvpremiership ;neutral
zwidemzwa yes ayasiza umzimba uphole iskhathi eside ;neutral
inkinga kaeskom neloadsheding yinto engeke isalungiseka sdalouma beyikhond indlela yokulungisa kungani bebeyekile yonke leminyaka kusukela ngo 2008 tumhlaba1 ukhozi fm ;negative
molweni 2millionganggang nivuka njani namhlanje welcome to the wednesday edition of the best breakfast show in the land bopha ibanti lakho asambeni thetakeoff🚀🚀🚀🔥🔥 pooopooopooopooohbonganimtolo naladagada lonwabonkohla ;negative
butana n ahahaha😂😂 impilo yethu ibaluleke kakhulu yazini ;positive
noeyebrows 2022africa nazoke sibonga impilo ;neutral
beast mode activated iskhathi sama popeye sphelile manje 🦿🦿🦵 ;neutral
dose local happy birthday mhlekazi ;positive
nothando gumbie inganekwane ;negative
sengifuna ukuveza imicondo nopete 😤 ;negative
mihlolaa revolt should just happen soze kaloku we have been saying that this loadshedding is a safety hazard on its own so now pr and advertising agencies must be called in 🌚😂 ;positive
tsiets i lol oh pls when last ive rebranded bethuna 😇 i do none of that left it for yol ;positive
thereal napgod ujika nyani or ngumama ingxaki abona bantu basixakileyo ngo mama ngeke 🥴 ;negative
busiswa stemele ingaske umthathe busiswa icebo ;neutral
mametjathobile1 inkinga iqala lanake ufuna ukwenza ingwenya ustraight 😭 ;negative
tlangy123 ngicela uzongbopha uze wedwa please 💕💃💍 ;positive
anelefumba bayanya kengokuwhy are they shocked ;neutral
xeshamusiq ladydu sa xesha question is if that is a fair practice or not are u insinuating that producers did not perform when they were creating a productsong that is benefiting dancersartistsmanagers at real time while them are expected to wait 4 royalties that might not even come ;negative
djbrianrikhotso wayi tiva molweni hi lexi la africa do sul mingo i nyaope🤣🤣 djsoulcrusher connymikateko phaphamamlfm ;neutral
inkinga usizwe udla izambane la pondo ;negative
gcogconombebe no a zii triplets okanye ii foplets ;neutral
“soze kaloku sana ube ngu kathrine sipho” rent free 😂😂😂😂 ;positive
djzeal4life washaaaaaaa 💃🕺🏽 yamnandi leyo mix ukhozi fm ngikuvulele phezulu kumanje ngala eshowe asambeeeeeke ndabezinhle ;positive
dlaminidukani kubonakala ngathi wenze ngebomu mhlampe une grudge against lophuzayo kodwa bengazi uzomthola kanjani ;negative
scrollaafrica m working for myself and eating phutu n amasi always now lots of people are questioning the school to feed the kids phutu some of those learners cant even get that from home its just a meal ditlaela ke lona ;neutral
babeswodumo za please babeswodumo za ungabanaki aba bathetha kakubi ngawebazokwenza ubuyele emva empilwenikudaliwe nguthixo oku kwenzekayouzokupha amandla wokumelana nesimo okusoam sending love from eastern cape ♥️♥️♥️♥️♥️♥️♥️♥️♥️rip ku gogo ka boy your mom inlaw🥺😥 kuzodlula sisi ;negative
unoksmolefe welele inganekwane kanti😂 ;positive
ukhozifmvabs vabs basakazi indlela amanye amaphoyisa aziphatha ngayo iyethusa labantu silindele kube yibo abangabavikeli ngicabanga ingcindezi abanayo mhlawmbe nezinto nathi esizenza kubo asisawahloniphi amaphoyisa djsgqemeza mrozawangempel ukhozi fm ;negative
veeqobs yintoni loud talking ;negative
zanelemthimkhu8 lihlem konakele mntase ;neutral
snezzymbatha wathula kangaka 🤣 ;neutral
lethukwazi hhay angazi lutho mina ;negative
matekihlabisa hhayi hhayi boy is good nje akenzanga lutho lo 🥲 ;negative
i’ve been in bed for two hours now lutho ubuthongo 😡 ;negative
thestar news he sounds like trevor noah when he ya nitshontsha inyama yami madoda 😂 ;positive
therealsmomoh billzdaoriginal ai ndoda amanga emini kanjena 😩 ;negative
kellykhumaloza it’s an old clip makazi phendulele maybe she now has a change of heart… ;neutral
owendlova lol ixesha limnkile bethuna nilinde ntoni 😭😭 ;negative
liyabona ubuzosela kakade ;neutral
anny944 ndicinga ujoin sisi qha ndisa cinga how i’m going to fit that in my schedule ;neutral
nokuphilakhany1 😅🤣😂😀😃 cha wahluba ngempela i wonder what ramaphosa and bheki cele were like ;positive
kancane kancane they are realizing im the only one that can give em the production they need ;neutral
guys there is something to be learnt apha… cheaters don’t know when to stop… leave at your earliest convenience bethuna iyhuuuu ;neutral
intoni malume😂❤️‍🔥❤️‍🔥❤️‍🔥💎thembabrolyxsasma22thembabroly the artist ;positive
lidudumalidlule its the book i dont stay connected ubane usiwa umbane 😩 ;negative
yhooooo ngumonday ngomso ;positive
musa ukuqamba amanga ;neutral
antonyngele yintoni lento umuncu kangaka msunu ;negative
inoba i have 2 sana 🤭😭 ;negative
dabulamanzij thamishezi5 lol hayi kanje kaloku ;negative
sphesih50440218 madisatsole aldrinsampear my brother kule nkulumo ka mongameli wathinteka ngempela kwayekushoeff gave courage for people to speak back to white people effturns10 🤚🤚 ;neutral
real kingsfiso maybe u living with the biggest lie endlini awenze idna yengane uyeke amanga akude unake aseduze kwakho ;neutral
yho bethuna 💔😔🥺 ;negative
inyama yehloko slaps harder 🔥😋 ;positive
ikhona inkinga with network ;neutral
thembagwejela thizainoba yimalini ivili le maserati marora 🙆🏾‍♂️🙆🏾‍♂️🙆🏾‍♂️ ;positive
ta size cishe ngaplumber by adding kc players yoooh😂😂😂 ;positive
ya no if there’s one thing engingazincishanga ngayo ngempela during my festive holidays leave is sleeping so glad i’m wellrested before going back to the jungle ;neutral
sekhoto lerato sneh khuzzy ngicela amatens kupm ;neutral
inkcubeko kantu usana olusandozalwa lusezwa amanzi esicakathi instead of “caster oil” and other westernised remedies we use isicakathi ;neutral
dont force communication in a relationship if your partner is silent come to me i love you uyezwa ;neutral
lihlem ngabo ingxaki ;negative
zukolatest ibizi jehovahs witnesses 😭😭 bethuna why ningathi congratulations xa indim ;negative
luxolomjaja ngicela uyeke ukungsukela ngoba ngidumile mina ngakith ;positive
sbosh abbie umjolo unzima bethuna ungazibona uphambana ngxa yomjolo ndithathe break ngo november ka 2021 i never looked back n that worries me a lot ;negative
ntandozi007 yazi inkinga from what ive picked up is that people confuse feminism with misandry feminism in its true essence has absolutely nothing to do with hate but some people use it to push hatred ;positive
jay4thedollies as i said youre not thinking broad enough about the issues at hand the point youre making is proving that you think energy is only important at home or that it affects life at home only akhonto sinoythetha bafo masiyivale le ndaba ;negative
haniwa 45 😂😂 kani ngoneni kangaka mine ;positive
ei mina angisathembi lutho kwezami bucs mkhaba m ukhozi fm ;negative
brother wam inoba u findouthile shame oko ephumela apha for the past 3days uthi “ haymaan nomdade ndifuna ufika ngolala endlini” ;negative
uzalifumana phi ixesha lo cheata shes a doctor chan 😂😂😂lomntu uthetha lento akana medical aid akana funeral cover ifuna nje usibonisa imihlola xa enyisiwe ;negative
tshepo glacier heart khuluma potse ngathi unenkulumo ;positive
ngeke ubezwe bethi perfect weather to study hlezi kwi totolozi🚮 ;neutral
alfred cabonena is the same nonsensical notion that we did not know the value of gold we were so primitive that even our spears were not made of steel and is a lie we had blacksmiths who knew to make a spear to be effective and iron was the ideal metal to use basiqhela kakubi ;negative
paseka48 farpostza wesaba ichiefs ne sundowns ;negative
good morning to all buccaneers ☠️💀💪💪💯the badge ☠️☠️ khohlwa 🙏🙌 ;negative
welcumza uzphethe kakubi kanene😭 ;negative
nobuhle booboo nampree uxolo ;positive
likhonangabase sela ngoku so that izofika uthe vram soze ulale ;neutral
sihlalo wesjita ndimincile umbane uyemka apha kule town ngo 1900 ngaske sitshintshe maan esisi schedule ;negative
mediamuhtari sağolasın chp sağolasın i̇yi parti biraz dürtülmese ak partinin kimseye yararı yok işgal bitene kadar dürtmeye devam ;neutral
syabongashazi manqoba03 ubafo sekafuna impimina bengiyidlalela nje😅😂😂😂 ;negative
eyi ukuwa komuntu…🤣 ;negative
liziwe matu chi chi nchilla omnye umbuzile uba wenza ipowerpoint presentation uba bonisa lol coz ayikho lento ayithethayo ;negative
ayikho into engamosha impilo yami njengokuba nengane njengamanje the thought of having to consider someone else’s best interests before making a decision about my life euwww 🤢 ;negative
khanisimele kancinci maaan ngaba “smash or pass” …we have more important issues to focus on… ;negative
mawelly05 kancane kancane 👏🏾👏🏾 ;positive
donna54103060 uhamba wedwa phambili asikuyeke ;negative
ofentsetheone likrwala kaloku ubhuti omtsha gqeberhatheempire ;negative
alexmegapc kk de la vaka el pirineu oriental no es pirineu uns setmana a 21° i tot a la merda ;neutral
mqoballack sapoliceservice bathe kumthinta kancane ;neutral
niqalile kengoku orlandopirates ;neutral
tomorrow morning i need to wake up at 5am and start skipping rope🤭bethuna i bought the rope last year november and i’ve been meaning to skip rope ;neutral
imagine paying for something engekho vele wow 😂😂🤦🏽‍♀️ what a joke nationalshutdown eskommustfall eskomprotest cyrilramaphosa ;negative
mzwanelemanyi mhlekazi udlale ngawe loyoeat meat check out keto diet and be healthy while eating red meat ;positive
mzolin it was on mntakwethu qha ku silent kanjani uxolo ikhona enye into ebendiyibaleka 🙈🙈🙈🙈 ;negative
indlela onqunqa ngayo 🤌🏿 ;positive
lordhealher ayanda mthatha 😂😂🤣 hay inoba ndiligxwemu ;positive
above everything else ngaske ndibe ngababantu baphangela ekapa 🕯 ;negative
gugu zullu jaytcoza but inkinga ukuthi angeke iphele 😂😂 ;positive
no ngelakhe ucinga udecampaigna ukj inside n out🤣🤣🤣 ;neutral
my girl yho utacha bethuna😍😍😭😭😭😭😍😍😍😍😍😍 wakandaforever ;positive
khumo34880 langelihlechon1 reckles64241071 this is about enhle afuna ukungena emshadweni wabantu she wasn’t even divorced at the time no matter how much you guys try to twist this it’s not working ;negative
nondumisontethe bengithi ngimubona ngedwa🤣 isho ngehips nethanga imakwabo🥺🥺 ;neutral
zkrige nicholasnyati not at all you see you have no clue what life is like in those places it cant be better to live in delft nyanga being unemployed amp with a very high chance of being shotstabbed amp killed or mugged while walking on the streets than to live in a village in cofimvaba 🤷🏾 ;negative
sphe54g ndiyabulela mhlekazi wam omuhle nakuwe kubenjalo 👊🤝🍻🤟 ;positive
just dropped the youngest of for her 1st day of the year nd did she not start wailing as i was leaving cishe ngakhala naye ;negative
ndimuthandazile uwfm88 106fm xhorha ndiyabulela 🙏🏾 ;positive
hermano 7 its kagiso lmao hahahaha i think i remember thamsanqa lancelot ;positive
sjava atm usjava kajama indlalifa igama lezintsizwa ;negative
carwootah zezi ezi postwayo ke ezi akhonto egqitywayo ingekho xa ingaphilanga kuntantazela wonke umntu ;positive
zeegcagca ndiyabulela sisi wam nangona kukngekho lula ngezinyi ntsuku ;positive
galcra yuh umgqwaliso thixonxiba sisi ;neutral
moorsss4 cyril has never been a problem my friend it was anc now inkinga abantu abavotayo especially on twitter ;negative
i hope one day i can be so financially stable that i never make it home just because of my mom every chance she gets uyang hlukumeza 💔 yoh parents are just awful man ;negative
ewnupdates yintoni ngok iislamic science ;negative
by khanyi inkinga ubhuti akaqali ukubuza lembuzo enokugcinazela abasebenzi and yena usuke ekhulumela ama business as usual i think abantu bakhathele lol ;negative
yekani amanga theres no south african kids that does not have a space in schools yall fail to register kids in time nor follow procedures but love taking kids for registration when schools reopen causing delays and traffic in schools premises🚮🚮🚮 ;negative
tyengeni1954 ngicela ukuni skima 🙏🏽🙏🏽 ;positive
mlota azola clearly my soulmate died ku world war soze klk 😭😭 zange ndi dump mntu ngo 2019 mna ;negative
phatnjamela radio2000 za molo mfondini ;neutral
msbuu2 lesufi a reality tv show about fighting crime trending without him making it about himself and his straw hat khohlwa ;neutral
missn ah shes gone shame 🤣🤣🤣 ukuthi umzali uthini uzobona endlini ;negative
afrikanchefza ta marah7 isnt that xolisa ;positive
kgosikhongo mrswagglady iyisiso ncam ingathi ngu mtwana ofunda ukuthetha 🥺 ;negative
xndimba floydshivambu julius s malema effsouthafrica ingxaki yezantwana kukunyoluka zifuna ukutyibilika ebhotolweni ;negative
bonoltjies inyama baybz ;neutral
nampree sembi kengoku ;negative
no ingxaki kweza kaka ze chamer zakwa kaka yho wes net ibe fit fane nezway zine ntsula ezinkulu ;negative
kokoleo zn pedi people are the most peaceful people south africa has ever had even those words were not harmful as intoni le kaka ;negative
yintoni ingxaki yaseamerica kanye kanye ;negative
andilejali870 mirasse mhlekazi ongaseyibhubha naxa kunyanzanzeleke uba ubhubhe uyobhujelwa ndim what a soldier🙌 ;positive
advobarryroux please leave weed out of itsome of us are actually very clean stoners abeg ningasibhanqi nabangawazi amanzi abeg ;negative
zymbrocacamios 🤣🤣🤣🤣 kodwa yena ukhuluma iqiniso ;neutral
thidodablackson enca fikz the cook myanc thats what ive been saying and they not getting it but the plan is to cos chaos and havoc its a pity that we as south africans are slow😅 these people want war manje sibenzela kancane thina😂 ;positive
ndingugigi 🤣🤣🤣inoba izophuma kwelikhandlela imali yayo ;neutral
andilencube snlwa tjo ngcela nimthole nkosiyam aze e studio a bodle mhlampe after interview kungaba necembu elinga msayina usemncane ngempela futhi utalented snawa ;neutral
madlokovu rh bonani oscarbaden rashid kay uli tshitshi hini wena if not akhonto esinga xoxa ngayo ;negative
somhappiness inoba ungumthwalo womnye umntu 😅 ;negative
gcina faith aibo sescishe sabona inkinga yentofuthi bezoxoshwa lamaofficial if they didnt fix that 🤣🤣🤣 ;negative
ashmula6 ndi muvenda ay ulaka bafo ;neutral
nneka nc yho back to sender 😂soze babes soze ;positive
caronmakaringe havana bloom awuqale lapha ushaye kancane ;neutral
albamokopane kanti nganekwane waze wabheda umbala kangaka ;neutral
oksalayo chrisexcel102 akhonto onoyenza usile nje qha🖕 ;negative
thamunchie unomsindo just write with small letters ;positive
phumeekubheka soze nditsho noba ungaya kuphi you just waiting your time 😂😂 ;positive
bulela inyani skhoma rhudul ;positive
vuyisa28427074 iancameron23 tshontshi inyama yami 😅 ;positive
siyamngadi1 esakho besinedliso and inyama ibingekho 😂 ;positive
😂😂😂 and uber eats ukhona e east london bethuna please ;positive
balisomlamli ngicela recipe ;neutral
“people commit mistakes just because namhlanje ayikabinguwe lumkela uhleka ude wonwatyiswe lihlazo lomntu owenze impazamo ubomi buyajika ngomso lizakubakuwe kwaye soze kubemnandi xa kuhlekiswa ngawe let’s learn to be humane at all times unyawo aluna mpumlo” somlomo ;negative
gudeka good morning where’s your scorecard mhlekazi i wanna see something 😅 ;positive
thisiscolbert i don’t like this guy i even blocked him for obvious reason more especially for amangabut i fully agree with him here ;neutral
lindiwesisulusa mama sicela izinto ezine vo kunina ugesi amathuba emisebenzi ukuvikeleka nokuphepha kwezakhamizi zaseningizimu neafrikha kanye nemfundo ezothuthukisa isizwe ezikhungweni zokufunda eziphakeme ozithobayoisithunywa esingenacala esijubwe umphakathiasibonge ;negative
kukhona konke nje ngibonga impilo okusho ukuthi unkulunkulu usenezinhloso ezithile ngami phindi p ukhozi fm ulibolokuqala ;neutral
khumalodanica ohw kodwa mbulazomnyama 😭😭😭 ucinga kanje everyday ;negative
nwabee m okanye unengxaki 🤣 ;neutral
azania1023 the thing is some people are matured and dont follow individuals they follow the party wena kangangoba ungenangqondo inoba ukufa kwalo zuma wakho uyozibulala nawe🤮🚮 ;negative
nhlaka5032 ku groovwa ngenye indlela pha 😂😂 ;positive
haska we survived covid what was amafutha empundwini tshi ;neutral
melikhayal3006 p stunner and 2 pairs of scissors cabanga hahaha ;negative
mswendyt it’s january bethunana batheni be ne vayolensi ;neutral
christothurston the purpose of contractors is to leave eskom and its employees to focus on the core business power generation and distribution sasol operates the same and is doing just fine mzalwane the eskom problem has nothing to do with contractors ;neutral
makawarona shaunkeyz welelehh inganekwane 🙄 ;neutral
